NATIONAL,REGION,DISTRICT,MMR,ANC,SBA,PNC
Ghana , Ashanti , Adansi North,192.3,75.7,43.1,62.5
Ghana , Ashanti , Adansi South,132.4,57.4,28.6,35.3
Ghana , Ashanti , Afigya-Kwabre,64,111.9,75.4,78.5
Ghana , Ashanti , Ahafo-Ano North,437.6,56.7,42.9,48.3
Ghana , Ashanti , Ahafo-Ano South,34.4,74,52.8,54.9
Ghana , Ashanti , Amansie Central,63.4,57.5,37,40.3
Ghana , Ashanti , Amansie West,74.8,99.6,66.6,71.6
Ghana , Ashanti , Asante Akim Central,44.2,76.4,70.5,71.3
Ghana , Ashanti , Asante Akim North,366.5,83.4,96.8,104.5
Ghana , Ashanti , Asante Akim South,39.5,73.5,47.3,50.9
Ghana , Ashanti , Asante-Mampong,34.2,88.6,74.7,82.7
Ghana , Ashanti , Asokore-Mampong,65.7,29.2,11.6,12.3
Ghana , Ashanti , Atwima Mponua,0,53.4,35.8,45.4
Ghana , Ashanti , Atwima Nwabiagya,30.1,152.2,106.7,132.7
Ghana , Ashanti , Atwima-Kwanwoma,0,102,75.7,74.3
Ghana , Ashanti , Bekwai,51.9,84.9,80.7,81.6
Ghana , Ashanti , Bosome Freho,0,53.8,30,33.1
Ghana , Ashanti , Bosomtwe,134.6,110.7,100.2,101.3
Ghana , Ashanti , Ejisu-Juaben,31.1,119.2,96.2,100.4
Ghana , Ashanti , Ejura-Sekyedumase,55.4,111.4,89.2,92
Ghana , Ashanti , Kumasi Metro,469.5,50.5,42.6,40.2
Ghana , Ashanti , Kwabre East,22.3,131.4,86.1,90.6
Ghana , Ashanti , Obuasi,168.5,70,61.6,61.9
Ghana , Ashanti , Offinso,139,167.2,162.7,167.8
Ghana , Ashanti , Offinso North,124.6,78.9,63.1,73.6
Ghana , Ashanti , Sekyere Afram Plains,0,65.6,19.2,18.6
Ghana , Ashanti , Sekyere Central,0,57.3,29,33.1
Ghana , Ashanti , Sekyere East,103.3,89.2,70.9,110
Ghana , Ashanti , Sekyere Kumawu,0,49.2,32.7,37
Ghana , Ashanti , Sekyere South,150.4,74.2,75.4,74.8
Ghana , Brong Ahafo , Asunafo North,54.7,80.8,62.9,66.6
Ghana , Brong Ahafo , Asunafo South,53.1,65.9,41.9,44.3
Ghana , Brong Ahafo , Asutifi North,0,63.9,28.7,60.3
Ghana , Brong Ahafo , Asutifi South,31.2,96.2,134.2,154
Ghana , Brong Ahafo , Atebubu-Amanten,180.8,88.3,47.2,52.1
Ghana , Brong Ahafo , Banda,0,80.6,48.8,49.4
Ghana , Brong Ahafo , Berekum,108.9,60.7,59.6,60.2
Ghana , Brong Ahafo , Dormaa East,0,70.9,51.1,56
Ghana , Brong Ahafo , Dormaa Municipal,106.3,62.2,52.6,52.8
Ghana , Brong Ahafo , Dormaa West,0,80.1,48,48.3
Ghana , Brong Ahafo , Jaman North,93.3,65.3,54.5,58.2
Ghana , Brong Ahafo , Jaman South,100.8,81.4,72.7,74.3
Ghana , Brong Ahafo , Kintampo North,0,112.5,80.2,98.6
Ghana , Brong Ahafo , Kintampo South,0,44.8,25.4,29
Ghana , Brong Ahafo , Nkoranza North,0,55.2,34.5,38.1
Ghana , Brong Ahafo , Nkoranza South,64.4,86.4,72.7,74.6
Ghana , Brong Ahafo , Pru,171.2,95.8,58.7,59.9
Ghana , Brong Ahafo , Sene East,0,53.1,15.9,43
Ghana , Brong Ahafo , Sene West,65.6,80.5,56.2,84.6
Ghana , Brong Ahafo , Sunyani Municipal,178.8,120.4,127.1,132.2
Ghana , Brong Ahafo , Sunyani West,0,68.8,38.4,38.8
Ghana , Brong Ahafo , Tain,0,71.8,56,57.9
Ghana , Brong Ahafo , Tano North,91.7,75.7,58.6,68.7
Ghana , Brong Ahafo , Tano South,49.4,69.9,55.6,57.2
Ghana , Brong Ahafo , Techiman Municipal,128.6,145.9,125.3,128.6
Ghana , Brong Ahafo , Techiman North,0,65.2,31.2,36.9
Ghana , Brong Ahafo , Wenchi,85.8,87.5,82.4,96.8
Ghana , Central , Abura-Asebu-Kwamankese,161.8,67.3,50.2,84.1
Ghana , Central , Agona East,59,79,42.4,45.2
Ghana , Central , Agona West,53.1,87.1,103.8,111.6
Ghana , Central , Ajumako-Enyan-Essiam,35.5,70.5,50.3,53.4
Ghana , Central , Asikuma-Odoben-Brakwa,110.6,60.5,57,58.3
Ghana , Central , Assin North,131,75.5,61,71.7
