"","REGION","ID","index.3vars.qrt","MMR","ANC","SBA","PNC"
"1","Brong Ahafo","Asunafo South",1,53.1,65.9,41.9,44.3
"2","Brong Ahafo","Asutifi North",1,NA,63.9,28.7,60.3
"3","Brong Ahafo","Kintampo South",1,NA,44.8,25.4,29
"4","Brong Ahafo","Nkoranza North",1,NA,55.2,34.5,38.1
"5","Brong Ahafo","Sene East",1,NA,53.1,15.9,43
"6","Brong Ahafo","Sunyani West",1,NA,68.8,38.4,38.8
"7","Brong Ahafo","Techiman North",1,NA,65.2,31.2,36.9
"8","Brong Ahafo","Banda",2,NA,80.6,48.8,49.4
"9","Brong Ahafo","Berekum",2,108.9,60.7,59.6,60.2
"10","Brong Ahafo","Dormaa East",2,NA,70.9,51.1,56
"11","Brong Ahafo","Dormaa Municipal",2,106.3,62.2,52.6,52.8
"12","Brong Ahafo","Dormaa West",2,NA,80.1,48,48.3
"13","Brong Ahafo","Jaman North",2,93.3,65.3,54.5,58.2
"14","Brong Ahafo","Tano South",2,49.4,69.9,55.6,57.2
"15","Brong Ahafo","Asunafo North",3,54.7,80.8,62.9,66.6
"16","Brong Ahafo","Atebubu-Amanten",3,180.8,88.3,47.2,52.1
"17","Brong Ahafo","Pru",3,171.2,95.8,58.7,59.9
"18","Brong Ahafo","Sene West",3,65.6,80.5,56.2,84.6
"19","Brong Ahafo","Tain",3,NA,71.8,56,57.9
"20","Brong Ahafo","Tano North",3,91.7,75.7,58.6,68.7
"21","Brong Ahafo","Asutifi South",4,31.2,96.2,134.2,154
"22","Brong Ahafo","Jaman South",4,100.8,81.4,72.7,74.3
"23","Brong Ahafo","Kintampo North",4,NA,112.5,80.2,98.6
"24","Brong Ahafo","Nkoranza South",4,64.4,86.4,72.7,74.6
"25","Brong Ahafo","Sunyani Municipal",4,178.8,120.4,127.1,132.2
"26","Brong Ahafo","Techiman Municipal",4,128.6,145.9,125.3,128.6
"27","Brong Ahafo","Wenchi",4,85.8,87.5,82.4,96.8
