Countriesandareas,Year,National
,,
Afghanistan,2010,16
Afghanistan,2011,15
Afghanistan,2014,23
Afghanistan,2015,18
Albania,2002,41
Albania,2009,67
Algeria,2013,67
Angola,1996,32
Angola,2016,61
AntiguaandBarbuda,2013,100
Argentina,2005,89
Argentina,2012,90
Armenia,2000,65
Armenia,2005,71
Armenia,2010,93
Armenia,2016,96
Australia,2008,92
Azerbaijan,2001,30
Azerbaijan,2006,45
Azerbaijan,2011,66
Bahamas,2013,85
Bahrain,2013,100
Bangladesh,1994,6
Bangladesh,1997,6
Bangladesh,2000,11
Bangladesh,2001,12
Bangladesh,2004,16
Bangladesh,2007,21
Bangladesh,2010,23
Bangladesh,2011,26
Bangladesh,2013,25
Bangladesh,2014,31
Barbados,2012,88
Belarus,2012,100
Belize,1991,76
Belize,2011,83
Belize,2016,93
Benin,1996,54
Benin,2001,62
Benin,2006,61
Benin,2012,58
Benin,2014,59
Bhutan,2010,77
Bhutan,2012,82
Bhutan,2015,85
Bolivia(PlurinationalStateof),1998,48
Bolivia(PlurinationalStateof),2003,58
Bolivia(PlurinationalStateof),2008,72
Bolivia(PlurinationalStateof),2012,75
BosniaandHerzegovina,2012,84
Botswana,2007,73
Brazil,1996,76
Brazil,2005,87
Brazil,2006,89
Brazil,2007,89
Brazil,2009,91
Brazil,2011,90
Brazil,2012,89
Brazil,2015,91
BruneiDarussalam,2012,93
BurkinaFaso,1993,23
BurkinaFaso,1999,23
BurkinaFaso,2003,18
BurkinaFaso,2010,34
BurkinaFaso,2015,47
Burundi,2010,33
Burundi,2017,49
Cambodia,2000,9
Cambodia,2005,27
Cambodia,2010,59
Cambodia,2014,76
Cameroon,1991,49
Cameroon,1998,52
Cameroon,2004,60
Cameroon,2011,62
Cameroon,2014,59
Canada,2007,99
CapeVerde,1998,64
CapeVerde,2005,72
CentralAfricanRepublic,1995,40
CentralAfricanRepublic,2010,38
Chad,1997,15
Chad,2004,18
Chad,2010,23
Chad,2015,31
China,2013,69
Colombia,1990,67
Colombia,2000,81
Colombia,2005,83
Colombia,2010,89
Colombia,2015,90
Comoros,1996,52
Comoros,2012,49
Congo,2005,75
Congo,2012,79
Congo,2015,79
CostaRica,2008,86
CostaRica,2011,90
Côted'Ivoire,1994,29
Côted'Ivoire,1999,36
Côted'Ivoire,2005,45
Côted'Ivoire,2012,44
Côted'Ivoire,2016,51
Croatia,2014,93
Croatia,2015,92
Cuba,2009,99
Cuba,2010,100
Cuba,2011,100
Cuba,2012,100
Cuba,2014,98
CzechRepublic,1993,97
DemocraticPeople'sRepublicofKorea,2009,94
DemocraticRepublicoftheCongo,2007,47
DemocraticRepublicoftheCongo,2010,45
DemocraticRepublicoftheCongo,2014,48
Djibouti,2002,7
Djibouti,2012,23
DominicanRepublic,1996,88
DominicanRepublic,2002,94
DominicanRepublic,2007,95
DominicanRepublic,2013,95
DominicanRepublic,2014,93
Ecuador,1984,64
Ecuador,1994,64
Ecuador,2004,58
Egypt,1992,23
Egypt,1995,28
Egypt,1997,32
Egypt,1998,33
Egypt,2000,37
Egypt,2003,56
Egypt,2005,59
Egypt,2008,66
Egypt,2014,83
ElSalvador,2003,71
ElSalvador,2008,78
ElSalvador,2014,90
EquatorialGuinea,2011,67
Eritrea,1995,27
Eritrea,2002,41
Eritrea,2010,57
Estonia,2014,97
Ethiopia,2000,10
Ethiopia,2005,12
Ethiopia,2011,19
Ethiopia,2014,32
Ethiopia,2016,32
Fiji,2013,94
France,2010,99
Gabon,2000,63
Gabon,2012,78
Gambia,2005,73
Gambia,2010,72
Gambia,2013,78
Georgia,2005,75
Georgia,2010,90
Georgia,2013,85
Georgia,2014,87
Georgia,2016,88
Germany,2014,99
