Countriesandareas,Year,National
Afghanistan,2010,23
Afghanistan,2015,40
Angola,2016,23
Armenia,2010,92
Armenia,2016,97
Azerbaijan,2011,83
Bangladesh,2011,27
Bangladesh,2013,40
Bangladesh,2014,36
Barbados,2012,97
Belarus,2012,100
Belize,2011,95
Belize,2016,96
Benin,2012,51
Benin,2014,78
Bhutan,2010,41
BurkinaFaso,2010,72
BurkinaFaso,2015,74
Burundi,2010,30
Burundi,2012,40
Burundi,2017,51
Cambodia,2010,70
Cambodia,2014,90
Cameroon,2011,37
Cameroon,2014,65
Chad,2015,16
Colombia,2010,3
Colombia,2015,1
Comoros,2012,49
Congo,2012,64
Congo,2015,80
Côted'Ivoire,2012,70
Côted'Ivoire,2016,80
Cuba,2014,99
DemocraticRepublicoftheCongo,2013,44
DemocraticRepublicoftheCongo,2014,44
DominicanRepublic,2013,84
DominicanRepublic,2014,95
Egypt,2014,82
ElSalvador,2014,94
Eritrea,2010,5
Ethiopia,2011,7
Ethiopia,2014,13
Ethiopia,2016,17
Gabon,2012,60
Gambia,2013,76
Ghana,2011,83
Ghana,2014,81
Guatemala,2015,78
Guinea,2012,37
Guinea,2016,57
Guinea-Bissau,2014,48
Guyana,2014,93
Haiti,2012,32
Haiti,2017,33
Honduras,2011,85
Honduras,2012,85
India,2014,39
India,2016,62
Indonesia,2012,80
Jordan,2012,82
Kazakhstan,2015,98
Kenya,2014,53
KyrgyzRepublic,2012,96
KyrgyzRepublic,2014,98
LaoPeople'sDemocraticRepublic,2012,39
Lesotho,2014,62
Liberia,2013,71
Liberia,2016,77
Malawi,2010,43
Malawi,2013,75
Malawi,2016,42
Mali,2012,40
Mali,2013,40
Mali,2015,58
Mauritania,2011,9
Mauritania,2015,57
Mexico,2015,95
Mongolia,2013,95
Montenegro,2013,95
Myanmar,2016,71
Namibia,2013,69
Nepal,2011,45
Nepal,2014,58
Nepal,2016,57
Niger,2012,37
Nigeria,2013,40
Nigeria,2017,37
Oman,2014,95
Pakistan,2013,60
Panama,2013,92
Paraguay,2016,94
Peru,2012,93
Peru,2014,93
Peru,2015,61
Philippines,2013,72
Rwanda,2010,18
Rwanda,2015,43
SaintLucia,2012,90
Samoa,2014,63
SaoTomeandPrincipe,2014,87
Senegal,2010,69
Senegal,2013,67
Senegal,2015,74
Senegal,2016,75
SierraLeone,2013,73
SolomonIslands,2015,69
SouthAfrica,2014,74
SouthAfrica,2016,84
StateofPalestine,2014,91
Sudan,2014,27
Swaziland,2014,88
Tajikistan,2012,80
Timor-Leste,2010,24
Togo,2014,71
TrinidadandTobago,2011,92
Tunisia,2012,92
Turkey,2013,88
Turkmenistan,2016,100
Uganda,2011,33
Uganda,2016,54
Ukraine,2012,96
UnitedRepublicofTanzania,2010,31
UnitedRepublicofTanzania,2016,34
VietNam,2014,90
Yemen,2013,20
Zambia,2014,63
Zimbabwe,2010,28
Zimbabwe,2011,28
Zimbabwe,2014,77
Zimbabwe,2015,57

